,地區,姓名,號次,性別,出生年次,參選年齡,推薦政黨,得票數,得票率,當選註記,是否現任,,
第九屆(2016),桃園市第1選舉區,陳根德,,,,59,中國國民黨,,,,,,
第九屆(2016),平地原住民,"鄭天財 Sra‧Kacaw",,,,59,中國國民黨,,,,,,
第九屆(2016),高雄市第5選舉區,管碧玲,,,,59,民主進步黨,,,,,,
第九屆(2016),金門縣選舉區,吳成典,,,,59,新黨,,,,,,
第九屆(2016),苗栗縣第2選舉區,徐志榮,,,,60,中國國民黨,,,,,,
第九屆(2016),平地原住民,"廖國棟 Sufin．Siluko",,,,60,中國國民黨,,,,,,
第九屆(2016),桃園市第4選舉區,鄭寶清,,,,60,民主進步黨,,,,,,
第九屆(2016),金門縣選舉區,陳滄江,,,,60,民主進步黨,,,,,,
第九屆(2016),臺北市第1選舉區,丁守中,,,,61,中國國民黨,,,,,,
第九屆(2016),臺北市第7選舉區,費鴻泰,,,,61,中國國民黨,,,,,,
第九屆(2016),高雄市第7選舉區,莊啟旺,,,,61,中國國民黨,,,,,,
第九屆(2016),苗栗縣第1選舉區,杜文卿,,,,61,民主進步黨,,,,,,
第九屆(2016),嘉義縣第2選舉區,陳明文,,,,61,民主進步黨,,,,,,
第九屆(2016),新北市第4選舉區,林麗容,,,,62,正黨,,,,,,
第九屆(2016),基隆市選舉區,劉文雄,,,,62,親民黨,,,,,,
第九屆(2016),新北市第9選舉區,林德福,,,,62,中國國民黨,,,,,,
第九屆(2016),新北市第10選舉區,盧嘉辰,,,,62,中國國民黨,,,,,,
第九屆(2016),雲林縣第1選舉區,蘇治芬,,,,62,民主進步黨,,,,,,
第九屆(2016),連江縣選舉區,陳雪生,,,,63,中國國民黨,,,,,,
第九屆(2016),基隆市選舉區,郝龍斌,,,,63,中國國民黨,,,,,,
第九屆(2016),新竹市選舉區,王榮德,,,,63,無,,,,,,
第九屆(2016),山地原住民,"瓦歷斯‧貝林 Walis‧Perin",,,,63,民主進步黨,,,,,,
第九屆(2016),臺北市第8選舉區,賴士葆,,,,64,中國國民黨,,,,,,
第九屆(2016),新北市第8選舉區,張慶忠,,,,64,中國國民黨,,,,,,
第九屆(2016),苗栗縣第1選舉區,陳超明,,,,64,中國國民黨,,,,,,
第九屆(2016),山地原住民,簡東明,,,,64,中國國民黨,,,,,,
第九屆(2016),新竹市選舉區,柯建銘,,,,64,民主進步黨,,,,,,
第九屆(2016),新北市第3選舉區,李乾龍,,,,66,中國國民黨,,,,,,
第九屆(2016),新北市第9選舉區,曾文聖,,,,67,健保免費連線,,,,,,
第九屆(2016),桃園市第6選舉區,鄭振源,,,,67,台灣未來黨,,,,,,
第九屆(2016),高雄市第9選舉區,蔡媽福,,,,67,中華統一促進黨,,,,,,
第九屆(2016),臺北市第6選舉區,蔣乃辛,,,,67,中國國民黨,,,,,,
第九屆(2016),屏東縣第2選舉區,王進士,,,,67,中國國民黨,,,,,,
第九屆(2016),桃園市第2選舉區,廖正井,,,,70,中國國民黨,,,,,,
第九屆(2016),新北市第3選舉區,黃茂,,,,72,無,,,,,,
第九屆(2016),平地原住民,林金瑛,,,,72,健保免費連線,,,,,,
第九屆(2016),臺北市第6選舉區,趙衍慶,,,,80,無,,,,,,
第九屆(2016),臺北市第8選舉區,方景鈞,,,,86,無,,,,,,
第九屆(2016),高雄市第7選舉區,林景元,,,,91,無,,,,,,
第九屆(2016),新北市第11選舉區,曾柏瑜,,,,24,綠黨社會民主黨聯盟,,,,,,
第九屆(2016),臺南市第4選舉區,楊智達,,,,24,綠黨社會民主黨聯盟,,,,,,
第九屆(2016),雲林縣第2選舉區,王煒婷,,,,25,時代力量,,,,,,
第九屆(2016),新北市第5選舉區,郭柏瑜,,,,27,時代力量,,,,,,
第九屆(2016),臺北市第8選舉區,苗博雅,,,,28,綠黨社會民主黨聯盟,,,,,,
第九屆(2016),新北市第4選舉區,賈伯楷,,,,29,綠黨社會民主黨聯盟,,,,,,
第九屆(2016),臺北市第7選舉區,呂欣潔,,,,32,綠黨社會民主黨聯盟,,,,,,
第九屆(2016),臺北市第4選舉區,林少馳,,,,33,時代力量,,,,,,
第九屆(2016),桃園市第1選舉區,王寶萱,,,,33,綠黨社會民主黨聯盟,,,,,,
第九屆(2016),臺中市第3選舉區,洪慈庸,,,,33,時代力量,,,,,,
第九屆(2016),平地原住民,林昊宜,,,,34,親民黨,,,,,,
第九屆(2016),臺北市第3選舉區,李晏榕,,,,35,綠黨社會民主黨聯盟,,,,,,
第九屆(2016),彰化縣第3選舉區,張益勝,,,,36,時代力量,,,,,,
第九屆(2016),臺北市第5選舉區,林昶佐,,,,39,時代力量,,,,,,
第九屆(2016),宜蘭縣選舉區,吳紹文,,,,39,綠黨社會民主黨聯盟,,,,,,
第九屆(2016),新竹市選舉區,邱顯智,,,,39,時代力量,,,,,,
第九屆(2016),新北市第12選舉區,黃國昌,,,,42,時代力量,,,,,,
第九屆(2016),新北市第6選舉區,康仁俊,,,,42,親民黨,,,,,,
第九屆(2016),高雄市第7選舉區,陳惠敏,,,,43,時代力量,,,,,,
第九屆(2016),新北市第3選舉區,張碩文,,,,44,親民黨,,,,,,
第九屆(2016),臺北市第4選舉區,陳尚志,,,,47,綠黨社會民主黨聯盟,,,,,,
第九屆(2016),臺北市第6選舉區,范雲,,,,47,綠黨社會民主黨聯盟,,,,,,
第九屆(2016),桃園市第6選舉區,呂東杰,,,,47,綠黨社會民主黨聯盟,,,,,,
第九屆(2016),彰化縣第3選舉區,陳朝容,,,,59,親民黨,,,,,,
第九屆(2016),臺北市第1選舉區,王靜亞,,,,#N/A,民國黨,,,,,,
第九屆(2016),臺北市第1選舉區,黃清原,,,,#N/A,台灣獨立黨,,,,,,
第九屆(2016),臺北市第1選舉區,吳忠錚,,,,#N/A,健保免費連線,,,,,,
第九屆(2016),臺北市第2選舉區,潘懷宗,,,,#N/A,新黨,,,,,,
第九屆(2016),臺北市第2選舉區,吳俊德,,,,#N/A,信心希望聯盟,,,,,,
第九屆(2016),臺北市第2選舉區,陳建斌,,,,#N/A,自由台灣黨,,,,,,
第九屆(2016),臺北市第2選舉區,陳民乾,,,,#N/A,台灣獨立黨,,,,,,
第九屆(2016),臺北市第2選舉區,王銘宗,,,,#N/A,無,,,,,,
第九屆(2016),臺北市第2選舉區,林幸蓉,,,,#N/A,健保免費連線,,,,,,
第九屆(2016),臺北市第3選舉區,趙燕傑,,,,#N/A,無,,,,,,
第九屆(2016),臺北市第3選舉區,林新凱,,,,#N/A,台灣獨立黨,,,,,,
第九屆(2016),臺北市第3選舉區,邱正浩,,,,#N/A,和平鴿聯盟黨,,,,,,
第九屆(2016),臺北市第3選舉區,李成嶽,,,,#N/A,軍公教聯盟黨,,,,,,
第九屆(2016),臺北市第3選舉區,黃麗香,,,,#N/A,無,,,,,,
第九屆(2016),臺北市第3選舉區,潘建志,,,,#N/A,無,,,,,,
第九屆(2016),臺北市第3選舉區,高士恩,,,,#N/A,大愛憲改聯盟,,,,,,
第九屆(2016),臺北市第3選舉區,陳科引,,,,#N/A,無,,,,,,
第九屆(2016),臺北市第4選舉區,何偉,,,,#N/A,無,,,,,,
第九屆(2016),臺北市第4選舉區,蕭亞譚,,,,#N/A,台灣團結聯盟,,,,,,
第九屆(2016),臺北市第4選舉區,李岳峰,,,,#N/A,和平鴿聯盟黨,,,,,,
第九屆(2016),臺北市第4選舉區,陳兆銘,,,,#N/A,台灣獨立黨,,,,,,
第九屆(2016),臺北市第5選舉區,李家幸,,,,#N/A,台灣獨立黨,,,,,,
第九屆(2016),臺北市第5選舉區,龔偉綸,,,,#N/A,無,,,,,,
第九屆(2016),臺北市第5選舉區,尤瑞敏,,,,#N/A,樹黨,,,,,,
第九屆(2016),臺北市第5選舉區,洪顯政,,,,#N/A,大愛憲改聯盟,,,,,,
第九屆(2016),臺北市第5選舉區,黃福卿,,,,#N/A,無,,,,,,
第九屆(2016),臺北市第6選舉區,吳旭智,,,,#N/A,民國黨,,,,,,
第九屆(2016),臺北市第6選舉區,陳家宏,,,,#N/A,樹黨,,,,,,
第九屆(2016),臺北市第6選舉區,周芳如,,,,#N/A,無,,,,,,
第九屆(2016),臺北市第6選舉區,龎維良,,,,#N/A,無,,,,,,
第九屆(2016),臺北市第6選舉區,林珍妤,,,,#N/A,台灣獨立黨,,,,,,
第九屆(2016),臺北市第6選舉區,曾獻瑩,,,,#N/A,信心希望聯盟,,,,,,
第九屆(2016),臺北市第6選舉區,蔣慰慈,,,,#N/A,無,,,,,,
第九屆(2016),臺北市第6選舉區,古文發,,,,#N/A,大愛憲改聯盟,,,,,,
第九屆(2016),臺北市第6選舉區,鄭村棋,,,,#N/A,人民民主陣線,,,,,,
第九屆(2016),臺北市第7選舉區,楊實秋,,,,#N/A,無,,,,,,
第九屆(2016),臺北市第7選舉區,蘇承英,,,,#N/A,和平鴿聯盟黨,,,,,,
第九屆(2016),臺北市第7選舉區,詹益正,,,,#N/A,無,,,,,,
第九屆(2016),臺北市第7選舉區,林文傑,,,,#N/A,無,,,,,,
第九屆(2016),臺北市第7選舉區,林芷芬,,,,#N/A,台灣獨立黨,,,,,,
第九屆(2016),臺北市第7選舉區,范揚律,,,,#N/A,大愛憲改聯盟,,,,,,
第九屆(2016),臺北市第8選舉區,賴樹聲,,,,#N/A,無,,,,,,
第九屆(2016),臺北市第8選舉區,李慶元,,,,#N/A,無,,,,,,
第九屆(2016),臺北市第8選舉區,陳如聖,,,,#N/A,台灣工黨,,,,,,
第九屆(2016),新北市第1選舉區,陳立基,,,,#N/A,無,,,,,,
第九屆(2016),新北市第1選舉區,陳筠棻,,,,#N/A,和平鴿聯盟黨,,,,,,
第九屆(2016),新北市第1選舉區,蘇通達,,,,#N/A,樹黨,,,,,,
第九屆(2016),新北市第1選舉區,洪志成,,,,#N/A,健保免費連線,,,,,,
第九屆(2016),新北市第3選舉區,姚胤宏,,,,#N/A,樹黨,,,,,,
第九屆(2016),新北市第3選舉區,蘇卿彥,,,,#N/A,無,,,,,,
第九屆(2016),新北市第3選舉區,林其瑩,,,,#N/A,社會福利黨,,,,,,
第九屆(2016),新北市第3選舉區,陳長發,,,,#N/A,大愛憲改聯盟,,,,,,
第九屆(2016),新北市第3選舉區,蕭忠漢,,,,#N/A,健保免費連線,,,,,,
第九屆(2016),新北市第4選舉區,劉鳳章,,,,#N/A,和平鴿聯盟黨,,,,,,
第九屆(2016),新北市第4選舉區,邱鴻玕,,,,#N/A,無,,,,,,
第九屆(2016),新北市第4選舉區,王斯儀,,,,#N/A,大愛憲改聯盟,,,,,,
第九屆(2016),新北市第6選舉區,姚玉霜,,,,#N/A,台灣工黨,,,,,,
第九屆(2016),新北市第6選舉區,游信義,,,,#N/A,信心希望聯盟,,,,,,
第九屆(2016),新北市第6選舉區,莊豐銘,,,,#N/A,無,,,,,,
第九屆(2016),新北市第6選舉區,李貴寶,,,,#N/A,民國黨,,,,,,
第九屆(2016),新北市第6選舉區,李建明,,,,#N/A,樹黨,,,,,,
第九屆(2016),新北市第6選舉區,黃鈞民,,,,#N/A,軍公教聯盟黨,,,,,,
第九屆(2016),新北市第7選舉區,李婉鈺,,,,#N/A,無,,,,,,
第九屆(2016),新北市第7選舉區,汪成華,,,,#N/A,健保免費連線,,,,,,
第九屆(2016),新北市第8選舉區,吳金魁,,,,#N/A,軍公教聯盟黨,,,,,,
第九屆(2016),新北市第8選舉區,童正億,,,,#N/A,無,,,,,,
第九屆(2016),新北市第8選舉區,邵伯祥,,,,#N/A,大愛憲改聯盟,,,,,,
第九屆(2016),新北市第8選舉區,林建志,,,,#N/A,健保免費連線,,,,,,
第九屆(2016),新北市第9選舉區,張菁芳,,,,#N/A,民國黨,,,,,,
第九屆(2016),新北市第9選舉區,李幸長,,,,#N/A,無,,,,,,
第九屆(2016),新北市第9選舉區,董建一,,,,#N/A,中華民國機車黨,,,,,,
第九屆(2016),新北市第10選舉區,黃魯光,,,,#N/A,自由台灣黨,,,,,,
第九屆(2016),新北市第12選舉區,陳永順,,,,#N/A,信心希望聯盟,,,,,,
第九屆(2016),新北市第12選舉區,鐘國誌,,,,#N/A,和平鴿聯盟黨,,,,,,
第九屆(2016),桃園市第2選舉區,陳佩俞,,,,#N/A,樹黨,,,,,,
第九屆(2016),桃園市第2選舉區,張康儀,,,,#N/A,時代力量,,,,,,
第九屆(2016),桃園市第2選舉區,黃維春,,,,#N/A,無,,,,,,
第九屆(2016),桃園市第2選舉區,吳振槖,,,,#N/A,台灣獨立黨,,,,,,
第九屆(2016),桃園市第3選舉區,陳宏瑞,,,,#N/A,民國黨,,,,,,
第九屆(2016),桃園市第3選舉區,余能生,,,,#N/A,自由台灣黨,,,,,,
第九屆(2016),桃園市第3選舉區,賴立竹,,,,#N/A,無,,,,,,
第九屆(2016),桃園市第3選舉區,黃志浩,,,,#N/A,無,,,,,,
第九屆(2016),桃園市第5選舉區,張誠,,,,#N/A,民國黨,,,,,,
第九屆(2016),桃園市第5選舉區,黃志浩,,,,#N/A,無,,,,,,
第九屆(2016),桃園市第5選舉區,蕭家亮,,,,#N/A,無,,,,,,
第九屆(2016),桃園市第5選舉區,羅文欽,,,,#N/A,無,,,,,,
第九屆(2016),桃園市第6選舉區,趙正宇,,,,#N/A,無,,,,,,
第九屆(2016),桃園市第6選舉區,藍大山,,,,#N/A,台灣獨立黨,,,,,,
第九屆(2016),桃園市第6選舉區,楊金軒,,,,#N/A,無,,,,,,
第九屆(2016),臺中市第1選舉區,陳軍元,,,,#N/A,中華統一促進黨,,,,,,
第九屆(2016),臺中市第1選舉區,王淑芬,,,,#N/A,大愛憲改聯盟,,,,,,
第九屆(2016),臺中市第1選舉區,黃金推,,,,#N/A,無,,,,,,
第九屆(2016),臺中市第2選舉區,紀國棟,,,,#N/A,無,,,,,,
第九屆(2016),臺中市第2選舉區,鍾文龍,,,,#N/A,無,,,,,,
第九屆(2016),臺中市第3選舉區,黃信吉,,,,#N/A,軍公教聯盟黨,,,,,,
第九屆(2016),臺中市第4選舉區,葉春幸,,,,#N/A,信心希望聯盟,,,,,,
第九屆(2016),臺中市第4選舉區,吳淑慧,,,,#N/A,民國黨,,,,,,
第九屆(2016),臺中市第4選舉區,游壽元,,,,#N/A,自由台灣黨,,,,,,
第九屆(2016),臺中市第4選舉區,顏惠莉,,,,#N/A,無,,,,,,
第九屆(2016),臺中市第5選舉區,簡孟軒,,,,#N/A,信心希望聯盟,,,,,,
第九屆(2016),臺中市第5選舉區,苗豐隆,,,,#N/A,無,,,,,,
第九屆(2016),臺中市第5選舉區,劉國隆,,,,#N/A,台灣團結聯盟,,,,,,
第九屆(2016),臺中市第7選舉區,石大哉,,,,#N/A,軍公教聯盟黨,,,,,,
第九屆(2016),臺中市第8選舉區,王政棋,,,,#N/A,無,,,,,,
第九屆(2016),臺南市第1選舉區,陳柏志,,,,#N/A,中華統一促進黨,,,,,,
第九屆(2016),臺南市第1選舉區,林德旺,,,,#N/A,無,,,,,,
第九屆(2016),臺南市第2選舉區,黃泯甄,,,,#N/A,中華統一促進黨,,,,,,
第九屆(2016),臺南市第2選舉區,黃憲清,,,,#N/A,自由台灣黨,,,,,,
第九屆(2016),臺南市第2選舉區,王國棟,,,,#N/A,無,,,,,,
第九屆(2016),臺南市第3選舉區,翁琬甯,,,,#N/A,中華統一促進黨,,,,,,
第九屆(2016),臺南市第4選舉區,傅建峰,,,,#N/A,中華統一促進黨,,,,,,
第九屆(2016),臺南市第4選舉區,蔡郁芝,,,,#N/A,時代力量,,,,,,
第九屆(2016),臺南市第4選舉區,陳皇州,,,,#N/A,大愛憲改聯盟,,,,,,
第九屆(2016),臺南市第5選舉區,李盈蒔,,,,#N/A,中華統一促進黨,,,,,,
第九屆(2016),臺南市第5選舉區,晏揚清,,,,#N/A,台灣工黨,,,,,,
第九屆(2016),高雄市第1選舉區,劉子麟,,,,#N/A,中華統一促進黨,,,,,,
第九屆(2016),高雄市第1選舉區,莊婷欣,,,,#N/A,和平鴿聯盟黨,,,,,,
第九屆(2016),高雄市第2選舉區,黃金玲,,,,#N/A,中華統一促進黨,,,,,,
第九屆(2016),高雄市第2選舉區,曾盈豐,,,,#N/A,自由台灣黨,,,,,,
第九屆(2016),高雄市第2選舉區,李柏融,,,,#N/A,樹黨,,,,,,
第九屆(2016),高雄市第3選舉區,梁蓓禎,,,,#N/A,信心希望聯盟,,,,,,
第九屆(2016),高雄市第3選舉區,柳淑芳,,,,#N/A,無,,,,,,
第九屆(2016),高雄市第3選舉區,莊明憲,,,,#N/A,大愛憲改聯盟,,,,,,
第九屆(2016),高雄市第4選舉區,林俊揚,,,,#N/A,中華統一促進黨,,,,,,
第九屆(2016),高雄市第5選舉區,王新昌,,,,#N/A,軍公教聯盟黨,,,,,,
第九屆(2016),高雄市第5選舉區,楊宗穎,,,,#N/A,和平鴿聯盟黨,,,,,,
第九屆(2016),高雄市第6選舉區,楊翰奇,,,,#N/A,和平鴿聯盟黨,,,,,,
第九屆(2016),高雄市第7選舉區,陳素莉,,,,#N/A,和平鴿聯盟黨,,,,,,
第九屆(2016),高雄市第8選舉區,汪婷萱,,,,#N/A,中華統一促進黨,,,,,,
第九屆(2016),高雄市第8選舉區,陳函谷,,,,#N/A,時代力量,,,,,,
第九屆(2016),高雄市第8選舉區,張育華,,,,#N/A,人民民主陣線,,,,,,
第九屆(2016),高雄市第8選舉區,馬凱妮,,,,#N/A,社會福利黨,,,,,,
第九屆(2016),高雄市第8選舉區,劉義雄,,,,#N/A,軍公教聯盟黨,,,,,,
第九屆(2016),高雄市第9選舉區,林宗彥,,,,#N/A,民國黨,,,,,,
第九屆(2016),新竹縣選舉區,卓恩宗,,,,#N/A,信心希望聯盟,,,,,,
第九屆(2016),新竹縣選舉區,李宗華,,,,#N/A,軍公教聯盟黨,,,,,,
第九屆(2016),新竹縣選舉區,鄭永金,,,,#N/A,無,,,,,,
第九屆(2016),新竹縣選舉區,邱靖雅,,,,#N/A,民國黨,,,,,,
第九屆(2016),新竹縣選舉區,黃秀龍,,,,#N/A,無,,,,,,
第九屆(2016),新竹縣選舉區,范振揆,,,,#N/A,中華統一促進黨,,,,,,
第九屆(2016),新竹縣選舉區,蘇雯英,,,,#N/A,健保免費連線,,,,,,
第九屆(2016),苗栗縣第1選舉區,康世儒,,,,#N/A,民國黨,,,,,,
第九屆(2016),苗栗縣第1選舉區,林一方,,,,#N/A,自由台灣黨,,,,,,
第九屆(2016),苗栗縣第2選舉區,周書涵,,,,#N/A,無,,,,,,
第九屆(2016),苗栗縣第2選舉區,劉文忠,,,,#N/A,自由台灣黨,,,,,,
第九屆(2016),苗栗縣第2選舉區,戴文祥,,,,#N/A,無,,,,,,
第九屆(2016),彰化縣第2選舉區,劉泳君,,,,#N/A,無,,,,,,
第九屆(2016),彰化縣第2選舉區,許永金,,,,#N/A,無,,,,,,
第九屆(2016),彰化縣第2選舉區,張耀元,,,,#N/A,民國黨,,,,,,
第九屆(2016),彰化縣第2選舉區,温國銘,,,,#N/A,勞工黨,,,,,,
第九屆(2016),彰化縣第2選舉區,黃玉芬,,,,#N/A,無,,,,,,
第九屆(2016),彰化縣第3選舉區,洪遊江,,,,#N/A,自由台灣黨,,,,,,
第九屆(2016),雲林縣第1選舉區,林富源,,,,#N/A,樹黨,,,,,,
第九屆(2016),雲林縣第2選舉區,張佳偉,,,,#N/A,樹黨,,,,,,
第九屆(2016),嘉義縣第1選舉區,邱崑龍,,,,#N/A,無,,,,,,
第九屆(2016),嘉義縣第2選舉區,賴競民,,,,#N/A,大愛憲改聯盟,,,,,,
第九屆(2016),屏東縣第3選舉區,張兆陽,,,,#N/A,中華統一促進黨,,,,,,
第九屆(2016),屏東縣第3選舉區,丁勇智,,,,#N/A,自由台灣黨,,,,,,
第九屆(2016),屏東縣第3選舉區,黃昭展,,,,#N/A,無,,,,,,
第九屆(2016),宜蘭縣選舉區,邱錫奎,,,,#N/A,無,,,,,,
第九屆(2016),宜蘭縣選舉區,孫博蕍,,,,#N/A,無,,,,,,
第九屆(2016),宜蘭縣選舉區,郭儒釗,,,,#N/A,軍公教聯盟黨,,,,,,
第九屆(2016),宜蘭縣選舉區,林獻山,,,,#N/A,泛盟黨,,,,,,
第九屆(2016),宜蘭縣選舉區,吳子維,,,,#N/A,大愛憲改聯盟,,,,,,
第九屆(2016),花蓮縣選舉區,黄師鵬,,,,#N/A,無,,,,,,
第九屆(2016),花蓮縣選舉區,楊悟空,,,,#N/A,泛盟黨,,,,,,
第九屆(2016),澎湖縣選舉區,冼義哲,,,,#N/A,樹黨,,,,,,
第九屆(2016),澎湖縣選舉區,黃漢東,,,,#N/A,台灣工黨,,,,,,
第九屆(2016),金門縣選舉區,張中法,,,,#N/A,無,,,,,,
第九屆(2016),金門縣選舉區,洪志恒,,,,#N/A,無,,,,,,
第九屆(2016),金門縣選舉區,陳德輝,,,,#N/A,台灣工黨,,,,,,
第九屆(2016),金門縣選舉區,高丹樺,,,,#N/A,軍公教聯盟黨,,,,,,
第九屆(2016),金門縣選舉區,陳仲立,,,,#N/A,無,,,,,,
第九屆(2016),連江縣選舉區,蘇柏豪,,,,#N/A,樹黨,,,,,,
第九屆(2016),連江縣選舉區,張春寶,,,,#N/A,中華統一促進黨,,,,,,
第九屆(2016),連江縣選舉區,林金官,,,,#N/A,無,,,,,,
第九屆(2016),基隆市選舉區,楊石城,,,,#N/A,民國黨,,,,,,
第九屆(2016),新竹市選舉區,魏揚,,,,#N/A,軍公教聯盟黨,,,,,,
第九屆(2016),新竹市選舉區,林家宇,,,,#N/A,自由台灣黨,,,,,,
第九屆(2016),新竹市選舉區,曾耀澂,,,,#N/A,無,,,,,,
第九屆(2016),新竹市選舉區,黃源甫,,,,#N/A,無,,,,,,
第九屆(2016),新竹市選舉區,吳淑敏,,,,#N/A,無,,,,,,
第九屆(2016),嘉義市選舉區,翁壽良,,,,#N/A,無,,,,,,
第九屆(2016),嘉義市選舉區,黃宏成台灣阿成世界偉人財神總統,,,,#N/A,無,,,,,,
第九屆(2016),平地原住民,"吳國譽 Rahic Amind",,,,#N/A,民國黨,,,,,,
第九屆(2016),平地原住民,"馬躍‧比吼 Mayaw‧Biho",,,,#N/A,無,,,,,,
第九屆(2016),平地原住民,"達佶祐‧卡造 Takiyo‧Kacaw",,,,#N/A,軍公教聯盟黨,,,,,,
第九屆(2016),平地原住民,達摩．阿雄,,,,#N/A,無,,,,,,
第九屆(2016),平地原住民,"嘎礌‧武拜‧哈雅萬 Galahe‧Wubai‧Hayawan",,,,#N/A,無,,,,,,
第九屆(2016),平地原住民,林光義,,,,#N/A,台灣第一民族黨,,,,,,
第九屆(2016),平地原住民,柯荏耀,,,,#N/A,無,,,,,,
第九屆(2016),山地原住民,尤命‧蘇樣,,,,#N/A,中國生產黨,,,,,,
第九屆(2016),山地原住民,林世偉,,,,#N/A,無,,,,,,
第九屆(2016),山地原住民,伊藍．明基努安,,,,#N/A,信心希望聯盟,,,,,,
第九屆(2016),山地原住民,林信義,,,,#N/A,信心希望聯盟,,,,,,
第九屆(2016),山地原住民,全承威,,,,#N/A,台灣獨立黨,,,,,,
第九屆(2016),山地原住民,曾華德,,,,#N/A,無,,,,,,
第九屆(2016),屏東縣第3選舉區,許謹如,,,,#N/A,中國國民黨,,,,,,
第六屆(2004),基隆市選舉區,謝國樑,3,男,1975,29,親民黨,52840,35.07%,*,否,,
第六屆(2004),臺北市第1選舉區,鄭運鵬,15,男,1973,31,民主進步黨,45234,7.42%,*,否,,
第六屆(2004),臺北縣第2選區,林淑芬,18,女,1973,31,民主進步黨,43680,7.95%,*,否,,
第六屆(2004),臺南市選舉區,王昱婷,1,女,1973,31,中國國民黨,49261,15.54%,*,是,,
第六屆(2004),苗栗縣選舉區,邱德宏,8,男,1973,31,台灣團結聯盟,7683,3.20%,,否,,
第六屆(2004),臺中市選舉區,陳淑琬,18,女,1973,31,中國國民黨,9842,2.47%,,否,,
第六屆(2004),南投縣選舉區,林耘生,10,男,1972,32,民主進步黨,31188,14.46%,*,否,,
第六屆(2004),高雄縣選舉區,林岱樺,11,女,1972,32,民主進步黨,51083,9.37%,*,是,,
第六屆(2004),全國（平原）,陳瑩,4,女,1972,32,民主進步黨,8364,13.23%,*,否,,
第六屆(2004),高雄市第2選區,朱挺介,9,男,1972,32,無,11373,4.17%,,否,,
第六屆(2004),南投縣選舉區,林博文,4,男,1972,32,無,3882,1.80%,,否,,
第六屆(2004),臺南縣選舉區,許高瑞,5,男,1972,32,無,356,0.07%,,否,,
第六屆(2004),高雄縣選舉區,黃璽文,8,男,1972,32,無黨團結聯盟,6585,1.21%,,否,,
第六屆(2004),臺北市第1選舉區,蕭美琴,11,女,1971,33,民主進步黨,44648,7.33%,*,是,,
第六屆(2004),臺中縣選舉區,謝欣霓,3,女,1971,33,民主進步黨,59246,9.37%,*,否,,
第六屆(2004),雲林縣選舉區,張碩文,14,男,1971,33,中國國民黨,42221,12.07%,*,否,,
第六屆(2004),高雄縣選舉區,陳麗惠,1,女,1971,33,中國國民黨,32767,6.01%,,是,,
第六屆(2004),屏東縣選舉區,邱議瑩,2,女,1971,33,民主進步黨,31651,8.04%,,是,,
第六屆(2004),高雄市第1選區,羅世雄,13,男,1969,35,中國國民黨,46583,12.81%,*,是,,
第六屆(2004),彰化縣選舉區,陳煥林,14,男,1970,34,無,31588,4.91%,,否,,
第六屆(2004),南投縣選舉區,吳政勳,2,男,1970,34,無,1398,0.65%,,否,,
第六屆(2004),嘉義縣選舉區,何慶紋,4,男,1970,34,中國國民黨,22442,8.97%,,否,,
第六屆(2004),桃園縣選舉區,孫大千,9,男,1969,35,親民黨,45376,6.16%,*,是,,
第六屆(2004),桃園縣選舉區,吳志揚,22,男,1969,35,中國國民黨,51225,6.95%,*,否,,
第六屆(2004),臺中縣選舉區,蔡其昌,21,男,1969,35,民主進步黨,39804,6.29%,*,否,,
第六屆(2004),臺北縣第2選區,柯淑敏,16,女,1968,36,親民黨,29472,5.36%,*,是,,
第六屆(2004),高雄縣選舉區,林益世,5,男,1968,36,中國國民黨,69115,12.68%,*,是,,
第六屆(2004),臺南市選舉區,高思博,5,男,1968,36,親民黨,44004,13.89%,*,否,,
第六屆(2004),高雄市第2選區,鄭麗文,2,女,1969,35,無,24780,9.09%,,否,,
第六屆(2004),桃園縣選舉區,陳麗玲,18,女,1969,35,中國國民黨,25394,3.45%,,否,,
第六屆(2004),臺中縣選舉區,吳清溪,16,男,1969,35,無,750,0.12%,,否,,
第六屆(2004),彰化縣選舉區,黃文玲,12,女,1969,35,無,14896,2.32%,,否,,
第六屆(2004),雲林縣選舉區,許樹福,16,男,1969,35,無,457,0.13%,,否,,
第六屆(2004),臺南縣選舉區,謝堯政,2,男,1969,35,無,5800,1.14%,,否,,
第六屆(2004),新竹市選舉區,鄭正鈐,7,男,1969,35,無,4364,2.97%,,否,,
第六屆(2004),臺中市選舉區,史惠群,1,男,1969,35,無,976,0.25%,,否,,
第六屆(2004),臺北縣第3選區,羅明才,10,男,1967,37,中國國民黨,45395,8.54%,*,是,,
第六屆(2004),臺北縣第3選區,許文仁,1,男,1968,36,無,995,0.19%,,否,,
第六屆(2004),雲林縣選舉區,陳劍松,1,男,1968,36,親民黨,28817,8.24%,,是,,
第六屆(2004),臺南縣選舉區,王國棟,16,男,1968,36,無,398,0.08%,,否,,
第六屆(2004),臺北市第2選舉區,周守訓,21,男,1966,38,中國國民黨,49231,8.37%,*,否,,
第六屆(2004),臺北市第2選舉區,黃適卓,27,男,1966,38,台灣團結聯盟,36431,6.19%,*,否,,
第六屆(2004),臺北縣第2選區,吳秉叡,17,男,1966,38,民主進步黨,45821,8.34%,*,否,,
第六屆(2004),臺北縣第3選區,沈發惠,20,男,1966,38,民主進步黨,48907,9.20%,*,否,,
